"((1, 8, 0), (1, 7, 0))","[16697833, array([ 0.16406894,  0.64405851, -0.18466786, -0.34995614, -0.27350345])]"
"((1, 8, 0), (2, 8, 0))","[16656090, array([ 0.16543564, -0.18291898,  0.64177452, -0.27218051, -0.35211068])]"
"((1, 8, 0), (2, 7, 0))","[11808510, array([ 0.14250251,  0.46784937,  0.46284819, -0.53447907, -0.538721  ])]"
"((1, 8, 0), (1, 9, 0))","[9681938, array([ 0.00216783, -0.22740472, -0.22715539,  0.70177281, -0.24938053])]"
"((1, 8, 0), (1, 8, 0))","[16380959, array([ 0.56068355, -0.10723849, -0.10839245, -0.17206257, -0.17299004])]"
"((1, 8, 0), (0, 7, 0))","[3336478, array([ 0.00069077,  0.47861547, -0.35225732, -0.51550632,  0.3884574 ])]"
"((1, 8, 0), (0, 8, 0))","[9693742, array([-0.00134094, -0.22714532, -0.22628817, -0.24885451,  0.70362894])]"
"((1, 8, 0), (2, 9, 0))","[3327895, array([-1.84820488e-04, -3.47036704e-01,  4.74535208e-01,  3.91742393e-01,
       -5.19056077e-01])]"
"((1, 8, 0), (2, 6, 0))","[6983045, array([ 0.12055572,  0.99001417,  0.35876126, -0.78662023, -0.68271091])]"
"((1, 8, 0), (2, 5, 0))","[3983262, array([ 0.10161869,  1.38893499,  0.3181754 , -1.01083299, -0.7978961 ])]"
"((1, 8, 0), (3, 6, 0))","[5272194, array([ 0.1008912 ,  0.8512773 ,  0.8463983 , -0.89839364, -0.90017316])]"
"((1, 8, 0), (3, 7, 0))","[6918584, array([ 0.11692442,  0.36604585,  0.98525954, -0.67879557, -0.78943424])]"
"((1, 8, 0), (4, 6, 0))","[3605735, array([ 0.07840177,  0.76317495,  1.23168005, -0.97949355, -1.09376323])]"
"((1, 8, 0), (1, 6, 0))","[6689553, array([ 0.14161598,  1.17204399, -0.2221261 , -0.64957524, -0.44195862])]"
"((1, 8, 0), (0, 6, 0))","[1331644, array([ 0.00127807,  1.03572633, -0.36168852, -0.78511758,  0.10980169])]"
"((1, 8, 0), (4, 4, 0))","[2023076, array([ 0.05763448,  1.39580744,  1.02626443, -1.28651143, -1.19319491])]"
"((1, 8, 0), (4, 5, 0))","[2817811, array([ 0.07045951,  1.11515066,  1.1148811 , -1.14995147, -1.1505398 ])]"
"((1, 8, 0), (5, 4, 0))","[1568586, array([ 0.03992296,  1.29855196,  1.28897318, -1.30741421, -1.32003389])]"
"((1, 8, 0), (6, 3, 0))","[842333, array([ 0.038914  ,  1.41146525,  1.4103054 , -1.43012389, -1.43056077])]"
"((1, 8, 0), (5, 3, 0))","[1119091, array([ 0.0306767 ,  1.50320954,  1.21936728, -1.41676003, -1.3364935 ])]"
"((1, 8, 0), (7, 4, 0))","[695334, array([ 0.03003718,  1.15329386,  1.66709493, -1.34576651, -1.50465948])]"
"((1, 8, 0), (7, 5, 0))","[821479, array([ 0.04170258,  0.93958343,  1.76648714, -1.23933188, -1.50844127])]"
"((1, 8, 0), (7, 6, 0))","[848320, array([ 0.05281956,  0.67432948,  1.89609674, -1.13016939, -1.49307638])]"
"((1, 8, 0), (6, 4, 0))","[1122901, array([ 0.03993442,  1.21154544,  1.50224947, -1.33373619, -1.41999314])]"
"((1, 8, 0), (9, 7, 0))","[67515, array([ 0.00761312,  0.3761976 ,  2.30867432, -1.05477039, -1.63771465])]"
"((1, 8, 0), (4, 3, 0))","[1353176, array([ 0.04244881,  1.61412007,  0.97412572, -1.40842636, -1.22226825])]"
"((1, 8, 0), (8, 7, 0))","[335286, array([ 0.04857455,  0.42036323,  2.13846418, -1.01886551, -1.58853644])]"
"((1, 8, 0), (8, 6, 0))","[390433, array([ 0.03421054,  0.67588443,  2.00671282, -1.12986787, -1.58693991])]"
"((1, 8, 0), (1, 5, 0))","[3046743, array([ 0.11108672,  1.55316446, -0.16449103, -0.92587834, -0.57388181])]"
"((1, 8, 0), (5, 6, 0))","[2366594, array([ 0.05974931,  0.71198808,  1.52640442, -1.04480209, -1.25333973])]"
"((1, 8, 0), (5, 5, 0))","[2048228, array([ 0.0472859 ,  1.03393196,  1.39843582, -1.19124759, -1.2884061 ])]"
"((1, 8, 0), (3, 5, 0))","[3620785, array([ 0.08434526,  1.23899035,  0.75237132, -1.08728181, -0.98842512])]"
"((1, 8, 0), (2, 4, 0))","[2298992, array([ 0.07206413,  1.67772313,  0.33273298, -1.20125498, -0.88126526])]"
"((1, 8, 0), (0, 4, 0))","[305350, array([ 0.00612   ,  1.71743038, -0.1435911 , -1.24147959, -0.3384797 ])]"
"((1, 8, 0), (3, 4, 0))","[2369342, array([ 0.06011281,  1.53035905,  0.706109  , -1.25034658, -1.04623429])]"
"((1, 8, 0), (1, 4, 0))","[1543142, array([ 0.08354979,  1.81628183, -0.06191978, -1.15260697, -0.68530486])]"
"((1, 8, 0), (2, 3, 0))","[1327190, array([ 0.05646793,  1.87802603,  0.36890118, -1.36168653, -0.9417086 ])]"
